0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292
0,9961,9266,8931,8746,5947,7875,7664,8808,7739,15542,15719,5605,5972,6758,5621,5564,5685,14578,6087,6527,6291,5282,5578,6123,6513,5483,9554,9542,9098,8950,8638,8457,2621,3478,10626,11311,10639,4917,4783,5106,3910,4943,5108,3338,3611,3397,10516,9021,13743,14421,13250,14171,3515,9844,3134,4844,4840,4501,4056,4970,4867,7214,7500,5912,7184,7883,8776,6669,6421,14044,9247,13414,9970,12908,10112,12381,16444,13046,9157,11625,9440,10728,8100,10314,16729,8529,6168,5137,6119,5281,6744,4499,6391,9510,6052,9512,1660,9662,6290,8666,6819,9826,6195,6741,5721,5931,5700,4349,6580,7396,5895,5800,5828,11159,6357,5687,6377,8304,4493,4091,7875,7079,9775,7946,8933,6163,8524,7496,8742,12789,10808,9975,11588,10427,11591,4764,5076,3698,6076,4372,4431,9233,11178,14457,14800,11582,11803,3091,4279,3766,4146,5012,4928,6963,6871,7249,7161,5493,6976,7810,7644,8092,7526,7647,6380,13484,12200,12848,13486,12455,10473,10992,10350,9690,10144,8331,8007,8283,8349,10433,4774,5188,5070,8825,10341,5816,5759,6276,9843,4299,6312,9168,10295,9324,9726,8075,8414,16365,16112,16419,6068,6414,6264,5924,6290,5747,6280,14965,3082,6147,6773,5940,5618,6632,6114,6064,6389,6645,6128,7712,9161,8059,3256,2835,11455,11664,10144,9942,11109,5621,5175,5360,3795,3553,5380,5005,6463,3723,4164,4399,4702,4004,3767,4728,9675,9122,9128,16091,15848,16126,13831,13320,3810,3713,2840,3145,3462,3039,5203,5163,4447,5126,4470,4537,7083,6414,6805,7712,7403,6629,14028,12833,14906,10086,8039,9822,9536,5970,4704,4596,4836,4831,8967,7278,5573,16694,6214,-1,6418,6567,8568,13058
10288,0,1042,1380,1677,13038,9090,8606,8288,8054,10298,9866,10776,11144,10164,9323,10605,10857,6927,4968,4030,5294,5539,8174,7841,8164,7985,1233,1704,2504,1973,2695,2848,7848,7653,1315,2001,2987,7122,6747,7112,7368,6565,5720,6827,7068,7349,4907,4562,5626,6304,5149,6055,11806,11298,10948,11192,11096,11700,11986,11871,11697,3365,3177,4540,3427,3083,3157,3760,4280,9584,1564,8280,789,8449,1187,7921,9513,8420,7827,3508,8919,12187,8690,11773,10875,10083,11340,10309,11291,10451,10774,9671,9797,10144,9755,9428,10136,9719,4365,10220,3996,11041,4523,4281,5387,6186,4903,6089,8905,9639,8549,4696,7363,2313,8075,5398,8028,10546,7283,9263,9428,8716,186,10188,1633,12562,2320,9133,2136,5137,3157,1864,2278,1117,3940,6196,5385,6469,5670,7830,6004,4773,6718,6550,6684,3566,4151,11512,12583,12123,12502,10833,11646,4243,3842,3239,3297,4897,3572,2625,2670,2598,2979,2848,4224,9024,7741,8388,8352,4339,11932,12451,11809,11149,11603,9785,9561,9837,9903,11893,9946,9104,8599,10040,10329,6776,5915,6228,1407,6386,3942,1435,984,7401,8817,7899,8426,10511,10258,10565,11240,11047,9289,9626,10210,10638,10672,7314,8445,4960,4003,5213,5284,4070,8839,8613,8705,8157,7711,9349,1891,2416,8497,8076,3048,2353,1399,2290,1798,6114,5722,5540,7252,7795,5597,5717,6021,6831,6809,6581,6398,6518,6572,6200,5216,4662,4668,7975,7731,8010,5714,5204,12369,12272,10895,11718,12035,11612,13730,11098,11791,10885,11375,12467,3578,4324,3556,2782,3011,3976,8894,4716,9888,11545,9493,11282,10995,10609,9876,9767,10008,9461,10002,6837,12451,10841,4439,-1,4531,8702,10810,4941
9246,738,0,337,635,11996,8048,7564,7246,7012,9577,9754,9734,10102,9122,8281,9563,9814,6602,3926,3046,4392,4637,7132,6799,7121,6943,330,801,1462,1070,1793,1945,6806,6611,1402,2088,2663,6079,5705,6070,6325,5523,4678,5785,6026,6307,3865,3519,5714,6391,5237,6142,10764,10256,9906,10150,10054,10658,10944,10829,10655,2323,2135,3498,2384,2041,2115,2718,3296,8542,1239,7912,876,7407,888,6879,9600,7544,6784,3596,7877,11145,7648,10731,10764,9041,10297,9267,10249,9408,9732,8629,8755,9102,8713,8386,9094,8677,3462,9178,3012,9999,3621,3297,4453,5144,4001,5047,7863,8596,7507,3654,6321,2401,7033,4495,6986,9504,6240,8221,8385,7674,552,9146,731,11520,1418,8091,1234,4812,2832,1783,2365,1204,3615,5154,4342,5427,4627,6787,4962,3731,5676,6481,6771,3606,3826,10470,11541,11081,11460,9791,10603,3201,2800,2197,2255,3855,2529,1583,1628,1556,1937,1805,3182,7982,6699,7346,7985,4426,10890,11409,10767,10107,10561,8743,8519,8795,8860,10850,8904,8062,7557,8998,9287,5734,4873,5185,1250,5344,2900,575,1072,6358,7775,6856,7384,10400,10147,10454,10198,10005,8247,8584,9168,9596,9630,6989,7542,4057,3019,4171,4381,3086,7796,7571,7663,7115,6669,8306,988,1514,7455,7034,3135,2441,1486,1966,1886,5072,4679,4498,6210,6753,4555,4675,4979,5928,5767,5539,5356,5476,5530,5158,4174,3620,3626,8062,7819,8097,5802,5291,11327,11230,9852,10676,10992,10569,12687,10055,10749,9843,10333,11425,2536,3282,2514,1739,1969,2934,8526,4803,9331,10503,8450,10239,9953,9567,8834,8725,8966,8419,8960,5795,11409,10730,3397,-1,3547,7660,9768,5029
8909,1282,545,0,298,11658,7711,7227,6908,6674,9240,9417,9397,9764,8784,7944,9226,9477,6265,3588,2708,4462,4692,6795,6462,6784,6605,875,1346,1125,1615,2337,2302,6468,6273,1879,2518,2325,5742,5367,5733,5988,5186,4341,5447,5688,5969,3527,3182,5380,6058,4903,5808,10427,9919,9569,9813,9716,10321,10607,10492,10318,1986,1798,3161,2047,1704,1778,2381,2959,8204,902,7575,1039,7069,1433,6542,9266,7207,6447,3262,7540,10808,7311,10394,10427,8704,9960,8929,9911,9071,9394,8292,8417,8764,8375,8049,8757,8339,3532,8840,2675,9661,3676,2959,4115,4806,4056,4710,7526,8259,7169,3316,5984,2627,6696,4475,6649,9166,5903,7883,8048,7337,1097,8809,1276,11183,1963,7754,1779,4475,2495,1446,2795,1681,3278,4817,4005,5090,4290,6450,4625,3394,5338,6143,6438,3269,3489,10132,11204,10743,11122,9454,10266,2864,2463,1859,1917,3518,2192,1245,1290,1219,1600,1468,2845,7644,6361,7009,7647,4092,10552,11071,10430,9770,10224,8405,8181,8458,8523,10513,8566,7725,7220,8661,8949,5397,4536,4848,913,5007,2562,238,1548,6021,7437,6519,7047,10063,9810,10117,9860,9668,7909,8247,8830,9259,9292,6652,7526,3768,2682,3834,4178,2748,7459,7233,7325,6777,6331,7969,1533,1903,7118,6697,3092,2871,1213,1628,2362,4734,4342,4161,5872,6416,4217,4338,4642,5715,5430,5202,5019,5138,5192,4821,3836,3282,3289,7728,7485,7764,5468,4957,10990,10893,9515,10339,10655,10232,12350,9718,10411,9505,9995,11088,2198,2944,2177,1402,1631,2596,8189,4470,8993,10165,8113,9902,9616,9229,8496,8388,8628,8081,8623,5457,11072,10392,3060,-1,3210,7323,9430,4695
8611,1427,732,396,0,11360,7413,6929,6611,6377,8942,9119,9099,9467,8486,7646,8928,9179,5983,3290,2410,4164,4394,6497,6164,6486,6307,1019,1491,827,1760,2174,2004,6170,5976,2092,2777,2043,5444,5069,5435,5690,4888,4043,5149,5390,5671,3229,2884,5147,5825,4654,5575,10129,9621,9271,9515,9418,10023,10309,10194,10020,1688,1500,2863,1749,1406,1480,2083,2661,7906,651,7277,1415,6771,1578,6244,9033,6909,6149,3029,7242,10510,7013,10096,10129,8406,9662,8631,9613,8773,9096,7994,8120,8467,8077,7751,8459,8041,3234,8542,2377,9363,3378,2661,3817,4508,3758,4412,7228,7961,6871,3018,5686,2563,6398,4177,6351,8868,5605,7585,7750,7039,1241,8511,1420,10885,1837,7456,1789,4193,2212,1379,3054,1893,2995,4519,3707,4792,3992,6152,4327,3096,5040,5861,6205,2986,3207,9834,10906,10445,10825,9156,9968,2566,2165,1561,1619,3220,1894,948,992,921,1302,1170,2547,7346,6063,6711,7349,3859,10254,10773,10132,9472,9926,8107,7883,8160,8225,10215,8268,7427,6922,8363,8652,5099,4238,4550,1289,4709,2265,634,1761,5723,7139,6221,6749,9765,9512,9819,9562,9370,7612,7949,8532,8961,8994,6369,7228,3470,2384,3536,3880,2450,7161,6935,7027,6479,6033,7671,1677,1605,6820,6399,2859,3130,1590,1346,2575,4437,4044,3863,5574,6118,3920,4040,4344,5417,5132,4904,4721,4840,4894,4523,3538,2985,2991,7495,7252,7531,5235,4724,10692,10595,9217,10041,10357,9934,12052,9420,10113,9207,9697,10790,1900,2646,1879,1104,1333,2298,7891,4237,8696,9867,7815,9604,9318,8931,8199,8090,8330,7784,8325,5159,10774,10094,2762,-1,2912,7025,9132,4462
5919,12881,12187,11851,11666,0,10134,9922,11066,9998,18399,18639,4793,5160,5957,5553,4752,4873,17153,9007,9447,9257,8249,6677,7522,8335,6865,12474,12508,12065,11917,11605,11424,5431,6465,13546,14232,13559,7968,7833,8157,6831,7994,8029,6258,6531,6533,13436,11942,16663,17341,16170,17091,3756,10214,3849,2816,3213,2335,1890,1668,1842,10135,10421,8832,10104,10803,11696,9589,9341,16434,12167,15805,12890,15299,13032,14772,19364,15437,11415,14545,10753,10879,10358,10465,19649,8741,5356,4325,5307,4469,5932,4514,6324,9849,5631,10244,6305,10394,9257,8877,9740,10138,9162,9662,8688,8950,8667,7270,6731,7547,6378,8721,7355,14079,7540,8654,8199,8454,7544,4047,8443,8748,12696,8097,11900,476,11491,8338,11709,15709,13729,12895,14509,13348,14511,7685,7996,6619,8997,7293,7351,12154,13568,17377,17721,14502,14723,3370,3538,2958,3139,2872,1961,9883,9792,10169,10082,8414,9897,10730,10564,11012,10446,10568,9300,15874,14591,15239,15877,15376,10623,11142,10501,9841,10295,8723,8218,8494,8560,10584,5166,5806,6347,9557,10794,8867,8679,9196,12764,7219,9232,12089,13215,11582,11517,10334,10672,19285,19032,19339,5256,5602,6197,5502,5478,4935,5468,17540,7673,9114,9693,8860,8585,9552,6265,6658,7067,8174,7767,8608,12128,11026,5506,5380,14376,14584,13064,12862,14029,8672,8095,8281,6715,6603,8300,7926,9383,6689,7085,7366,7623,6924,6688,7648,12596,12042,12049,19012,18768,19047,16751,16240,3089,3333,3797,2884,3200,3425,3876,2402,2191,2620,2843,1410,10003,9334,9725,10632,10324,9549,16419,15753,17296,10237,8475,9973,9687,5329,4357,4593,5035,5640,9699,10199,1806,19615,9134,-1,9385,7336,8718,15978
7831,9041,8346,8011,7826,10066,0,621,1911,1244,9646,10153,6654,6598,5530,4689,5971,6498,8399,6280,6481,7260,6483,3541,2995,2196,3351,8634,9105,8242,8573,8734,8577,5565,5628,8990,9044,6552,5006,4917,5024,5544,4983,4905,6116,5843,6630,5712,5615,8327,9344,7512,9095,9509,5505,8651,8220,8124,8739,9025,8900,8726,6115,6294,5469,6344,6606,6494,5603,6376,7681,7983,7051,8569,6546,9192,6018,10877,6683,2261,7736,2398,5713,1057,5980,11162,3456,7218,6204,7124,5817,6140,5955,5163,2467,5121,2469,7679,2620,7050,2462,6507,2783,6897,6374,6023,4094,6670,5654,4026,4476,3915,5781,2729,8411,3230,6221,2265,5383,4502,7035,3549,2842,8856,5025,8448,9590,8397,3444,8365,7051,6382,8008,9321,8792,6064,5091,4950,6015,4612,6237,5569,5270,4815,8719,9724,6776,6065,9215,10286,9826,10192,7862,8674,5789,5629,6182,6095,5532,5990,6890,6772,6821,6650,6581,5138,7121,5838,6485,7124,6824,5457,5976,5335,5356,5810,3506,3001,3210,2750,5418,5456,4471,3965,1782,3299,3868,4234,3839,7951,5556,5473,8249,9260,2428,2683,1580,1517,10798,10545,10852,7118,6414,4655,4993,5576,6005,6038,8786,7643,6460,6097,6133,5952,6580,4205,3979,3859,2923,2736,3496,8729,8179,6200,5779,8358,9713,8260,7249,9473,4532,4653,4471,5659,5132,4334,4709,3368,6640,6355,6147,5963,6063,6117,5765,4145,4874,5147,11576,11332,11611,8779,8244,10052,9841,8598,9111,9427,9315,10929,8126,8819,7913,8403,9506,5903,5253,5965,6645,6561,5387,7666,7780,8543,5070,3257,5488,5202,5975,6160,5874,5517,4827,1924,2875,9480,11128,5634,-1,6756,3856,5647,7426
7644,8854,8159,7823,7639,9879,621,0,1381,839,9458,9965,6467,6411,5343,4502,5784,6310,8212,6092,6294,7073,6296,3353,2808,2009,3164,8446,8918,8054,8385,8546,8390,5377,5440,8803,8857,6364,4819,4729,4836,5356,4796,4717,5929,5656,6442,5524,5428,8139,9157,7325,8907,9322,5194,8464,8033,7937,8552,8838,8712,8538,5927,6107,5282,6157,6418,6307,5415,6188,7493,7796,6864,8382,6358,9005,5831,10690,6496,1731,7549,1867,5402,527,5669,10975,3145,7030,6016,6936,5629,5953,5767,4976,2156,4933,2158,7492,2309,6862,2151,6319,2472,6709,6187,5836,3906,6482,5467,3715,4165,3728,5593,2542,8223,3042,6033,2078,5072,4315,6848,3238,2655,8668,4714,8261,9403,8210,3133,8177,6863,6195,7821,9134,8604,5877,4904,4762,5827,4425,6050,5382,5083,4627,8532,9537,6589,5877,9028,10099,9638,10004,7674,8486,5602,5442,5995,5908,5344,5803,6702,6584,6634,6463,6393,4951,6933,5650,6298,6936,6636,5146,5665,5024,5045,5499,3195,2690,2899,2439,5107,5268,4283,3778,1471,2988,3681,4046,3651,7763,5369,5285,8061,9073,1898,2153,1175,987,10611,10358,10665,6930,6226,4468,4805,5389,5817,5851,8599,7456,6272,5910,5946,5764,6392,4017,3791,3671,2736,2548,3309,8542,7991,6013,5592,8170,9526,8073,7062,9286,4344,4465,4284,5472,4945,4147,4521,3181,6452,6167,5959,5776,5876,5930,5578,3958,4687,4960,11388,11145,11423,8591,8056,9865,9653,8410,8923,9240,9127,10741,7938,8632,7726,8216,9319,5715,5065,5778,6458,6374,5199,7478,7593,8355,4759,2946,5177,4891,5787,5972,5687,5330,4640,1613,2688,9292,10940,5447,-1,6569,3669,5336,7239
9327,8565,7871,7535,7350,11562,2304,1774,0,1744,9084,9591,8150,8094,7026,6185,7467,7993,7838,6678,6879,7658,6881,5036,4491,3692,4847,8158,8547,7680,8011,8172,8016,7060,7123,8428,8483,5990,6085,5710,6075,6954,5529,5303,6770,7011,7292,5150,5053,7765,8783,6950,8533,11005,6715,10147,9716,9620,10235,10521,10395,10221,6349,6052,5867,6742,6044,5933,6001,6773,7119,7421,6489,8008,5984,8716,5456,10316,6121,478,7175,1624,5697,1247,6407,10601,4513,8713,7699,8620,7313,7636,7451,6659,2849,6617,2133,9175,2424,7447,3519,6904,3782,7294,6772,6421,4492,7067,6052,5303,5753,5411,6179,4225,7849,4725,6619,3761,6660,5590,8531,4826,4338,8380,6302,7887,11086,7835,4721,7803,6489,5821,7447,8760,8230,5503,5489,5348,6413,5010,7647,5967,4709,4253,8158,9162,6214,5503,10711,11782,11322,11687,9357,10170,6187,6027,6474,6493,5930,6388,6753,6714,6260,6643,6079,5536,6559,5276,5924,6562,6262,5442,5961,5319,5783,6237,4783,4147,4267,3807,5402,6951,5966,5461,2873,3204,4266,4726,4237,7389,5954,5871,7773,8699,645,1529,1737,1033,10237,9984,10291,8614,7909,6151,6488,7072,7500,7534,8224,8983,6858,6495,6531,6349,6978,5700,5475,5354,4419,4231,4991,8167,7617,7696,7275,7796,9152,7699,6687,8912,5077,5051,4869,7070,6542,4732,5107,3766,7038,6753,6544,6361,6461,6515,6163,3584,4313,4586,11014,10771,11049,8217,7682,11548,11336,10093,10607,10923,10810,12424,9622,10315,9409,9899,11002,6226,5650,6363,6255,6959,5784,7104,7219,7981,5055,4534,5915,5629,7471,7655,7370,7013,6323,2707,3273,10975,10566,6032,-1,7154,5352,6924,6865
7760,8034,7339,7003,6819,9995,1224,633,1105,0,8638,9145,6583,6527,5459,4618,5900,6426,7392,5272,5474,6253,5476,3469,2924,2125,3280,7627,8098,7235,7566,7727,7570,5493,5556,7983,8037,5544,4679,4305,4670,5472,4123,3897,5365,5606,5887,4704,4608,7319,8337,6505,8087,9438,5827,8580,8149,8053,8668,8954,8828,8654,5107,5287,4462,5337,5598,5487,4595,5368,6673,6976,6044,7562,5538,8185,5011,9870,5676,1454,6729,1996,6035,655,6302,10155,3778,7146,6132,7053,5746,6069,5884,5092,2790,5050,2504,7608,2795,6042,2785,5499,3105,5889,5367,5016,3086,5662,4647,3988,4721,3844,4774,2658,7403,3158,5214,2194,5629,4185,6964,3753,2771,7848,5271,7441,9519,7390,3374,7357,6044,5375,7001,8314,7784,5057,4084,3942,5007,3605,6166,4562,4263,3807,7712,8717,5769,5057,9144,10215,9755,10120,7790,8603,4782,4622,5175,5088,4524,4983,5882,5764,5814,5643,5573,4131,6113,4830,5478,6116,5816,5780,6298,5657,5678,6132,3828,3323,3532,3072,5740,5384,4399,3894,2104,3621,2861,3321,2832,6944,4549,4465,7241,8253,1622,2281,336,711,9791,9538,9845,7047,6342,4584,4921,5505,5933,5967,7779,7572,5452,5090,5126,4944,5573,4133,3908,3787,2852,2664,3425,7722,7171,6129,5708,7350,8706,7253,6242,8466,3672,3645,3464,5588,5061,3327,3701,2361,5633,5347,5139,4956,5056,5110,4758,3138,3867,4140,10568,10325,10604,7771,7236,9981,9769,8526,9040,9356,9243,10857,8055,8748,7842,8332,9435,4895,4245,4958,5638,5554,4379,6658,6773,7535,5393,3579,5810,5524,5904,6088,5803,5446,4756,2246,1868,9408,10120,4627,-1,5749,3785,5893,6419
